Metric,3mo,6mo,1y,3y,5y,10y
Return (sp20_mkt_cap),35.24%,23.50%,65.01%,50.09%,33.87%,38.23%
Return (VOO),16.81%,12.86%,29.02%,22.38%,13.16%,15.21%
Return (Difference),18.42%,10.63%,35.99%,27.71%,20.71%,23.02%
Volatility (sp20_mkt_cap),20.75%,18.60%,17.20%,22.20%,24.90%,25.00%
Volatility (VOO),15.23%,13.42%,12.40%,14.77%,16.85%,18.00%
Volatility (Difference),5.53%,5.18%,4.80%,7.43%,8.05%,7.00%
Yield (sp20_mkt_cap),0.51%,0.54%,0.68%,1.05%,1.22%,3.45%
Yield (VOO),1.17%,1.19%,1.39%,1.89%,1.80%,3.51%
Yield (Difference),-0.66%,-0.65%,-0.71%,-0.84%,-0.58%,-0.06%
