Metric,3mo,6mo,1y,3y,5y,10y
Return (sp20_eq_weight),54.47%,44.08%,74.49%,45.76%,29.80%,32.53%
Return (VOO),16.81%,12.86%,29.02%,22.38%,13.16%,15.21%
Return (Difference),37.66%,31.22%,45.47%,23.38%,16.65%,17.32%
Volatility (sp20_eq_weight),20.03%,18.11%,16.39%,19.34%,20.96%,21.77%
Volatility (VOO),15.23%,13.42%,12.40%,14.77%,16.85%,18.00%
Volatility (Difference),4.80%,4.69%,3.98%,4.57%,4.11%,3.77%
Yield (sp20_eq_weight),0.75%,0.82%,1.01%,1.46%,1.74%,3.72%
Yield (VOO),1.17%,1.19%,1.39%,1.89%,1.80%,3.51%
Yield (Difference),-0.43%,-0.37%,-0.38%,-0.43%,-0.06%,0.21%
